Document Title,Authors,Author Affiliations,Publication Title,Publication Year,Venue Key,Venue Rank,IC Domain,Abstract,DOI,PDF Link,Source URL,IEEE Article Number,Quality Score,Collection Method,Download Status,Article Citation Count
A Sub-Picosecond Hybrid DLL for Large-Scale Phased Array Synchronization,Matan Gal-Katziri; Ali Hajimiri,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,RF/mmWave & Wireline,,10.1109/asscc.2018.8579340,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579340,https://doi.org/10.1109/asscc.2018.8579340,8579340,88.9,crossref_venue_year:2018,publisher_pdf_requires_session,4
A Transient-Enhanced Constant On-Time Buck Converter with Light-Load Efficiency Optimization,Mao-Ling Chiu; Tzu-Hsuan Yang; Tsung-Hsien Lin,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,Power Management,,10.1109/asscc.2018.8579251,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579251,https://doi.org/10.1109/asscc.2018.8579251,8579251,88.9,crossref_venue_year:2018,publisher_pdf_requires_session,5
A WDR CMOS Image Sensor Employing In-pixel Capacitive Variation using a Re-configurable Source Follower for Low Light Applications,Neha Priyadarshini; Chandani Anand; Mukul Sarkar,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,"Biomedical, Sensor & Imaging IC",,10.1109/asscc.2018.8579272,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579272,https://doi.org/10.1109/asscc.2018.8579272,8579272,99,crossref_venue_year:2018,publisher_pdf_requires_session,8
A Wearable Auto-Patient Adaptive ECG Processor for Shockable Cardiac Arrhythmia,Syed Muhammad Abubakar; Muhammad Rizwan Khan; Wala Saadeh; Muhammad Awais Bin Altaf,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,Digital IC & Architecture,,10.1109/asscc.2018.8579263,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579263,https://doi.org/10.1109/asscc.2018.8579263,8579263,90,crossref_venue_year:2018,publisher_pdf_requires_session,33
A Wide-Range Capacitive DC-DC Converter with 2D-MPPT for Soil/Solar Energy Extraction,I-Che Ou; Jia-Ping Yang; Chia-Hung Liu; Kai-Jie Huang; Kun-Ju Tsai; Yu Lee; Yuan-Hua Chu; Yu-Te Liao,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,Power Management,,10.1109/asscc.2018.8579339,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579339,https://doi.org/10.1109/asscc.2018.8579339,8579339,88.8,crossref_venue_year:2018,publisher_pdf_requires_session,3
A bulk 65nm Cortex-M0+ SoC with All-Digital Forward Body Bias for 4.3X Subthreshold Speedup,Pranay Prabhat; Graham Knight; Supreet Jeloka; Sheng Yang; James Myers,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2018.8579269,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579269,https://doi.org/10.1109/asscc.2018.8579269,8579269,88.8,crossref_venue_year:2018,publisher_pdf_requires_session,3
A-SSCC 2018 Blank Page,,,ASSCC,2018,ASSCC,A,General IC,,10.1109/asscc.2018.8579266,https://ieeexplore.ieee.org/ielx7/8547238/8579249/08579266.pdf,https://doi.org/10.1109/asscc.2018.8579266,8579266,78.7,venue_year_search:2018,publisher_pdf_requires_session,0
A-SSCC 2018 Blank Page,,,ASSCC,2018,ASSCC,A,General IC,,10.1109/asscc.2018.8579297,https://ieeexplore.ieee.org/ielx7/8547238/8579249/08579297.pdf,https://doi.org/10.1109/asscc.2018.8579297,8579297,78.7,venue_year_search:2018,publisher_pdf_requires_session,0
A-SSCC 2018 Cover Page,,,ASSCC,2018,ASSCC,A,General IC,,10.1109/asscc.2018.8579312,https://ieeexplore.ieee.org/ielx7/8547238/8579249/08579312.pdf,https://doi.org/10.1109/asscc.2018.8579312,8579312,78.7,venue_year_search:2018,publisher_pdf_requires_session,0
A-SSCC 2018 Index,,,ASSCC,2018,ASSCC,A,General IC,,10.1109/asscc.2018.8579262,https://ieeexplore.ieee.org/ielx7/8547238/8579249/08579262.pdf,https://doi.org/10.1109/asscc.2018.8579262,8579262,78.7,venue_year_search:2018,publisher_pdf_requires_session,0
A-SSCC 2018 Preface,,,ASSCC,2018,ASSCC,A,General IC,Presents the introductory welcome message from the conference proceedings. May include the conference officers' congratulations to all involved with the conference event and publication of the proceedings record.,10.1109/asscc.2018.8579279,https://ieeexplore.ieee.org/ielx7/8547238/8579249/08579279.pdf,https://doi.org/10.1109/asscc.2018.8579279,8579279,78.7,venue_year_search:2018,publisher_pdf_requires_session,0
A-SSCC 2018 Preface,,,ASSCC,2018,ASSCC,A,General IC,Presents the introductory welcome message from the conference proceedings. May include the conference officers' congratulations to all involved with the conference event and publication of the proceedings record.,10.1109/asscc.2018.8579280,https://ieeexplore.ieee.org/ielx7/8547238/8579249/08579280.pdf,https://doi.org/10.1109/asscc.2018.8579280,8579280,78.7,venue_year_search:2018,publisher_pdf_requires_session,0
A-SSCC 2018 Preface,,,ASSCC,2018,ASSCC,A,General IC,Presents the introductory welcome message from the conference proceedings. May include the conference officers' congratulations to all involved with the conference event and publication of the proceedings record.,10.1109/asscc.2018.8579278,https://ieeexplore.ieee.org/ielx7/8547238/8579249/08579278.pdf,https://doi.org/10.1109/asscc.2018.8579278,8579278,78.7,venue_year_search:2018,publisher_pdf_requires_session,0
AI Drives Domain Specific Processors,Yi Kang,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,Digital IC & Architecture,,10.1109/asscc.2018.8579282,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579282,https://doi.org/10.1109/asscc.2018.8579282,8579282,88.8,crossref_venue_year:2018,publisher_pdf_requires_session,2
An 11b 1GS/s Time-Interleaved ADC with Linearity Enhanced T/H,Yan Zhu; Chi-Hang Chan; R.P. Martins,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2018.8579311,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579311,https://doi.org/10.1109/asscc.2018.8579311,8579311,88.7,crossref_venue_year:2018,publisher_pdf_requires_session,1
An 82.1%-Power-Efficiency Single-Inductor Triple-Source Quad-Mode Energy Harvesting Interface with Automatic Source Selection and Reversely Polarized Energy Recycling,Chih-Lun Lo; Hao-Chung Cheng; Pei-Chun Liao; Yi-Lun Chen; Po-Hung Chen,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,RF/mmWave & Wireline,,10.1109/asscc.2018.8579313,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579313,https://doi.org/10.1109/asscc.2018.8579313,8579313,88.9,crossref_venue_year:2018,publisher_pdf_requires_session,4
An 88% Efficiency 2.4μW to 15.6μW Triboelectric Nanogenerator Energy Harvesting System Based on a Single-Comparator Control Algorithm,Karim Rawy; Ruchi Sharma; Hong-Joon Yoon; Usman Khan; Sang-Woo Kim; Tony T. Kim,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2018.8579338,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579338,https://doi.org/10.1109/asscc.2018.8579338,8579338,88.9,crossref_venue_year:2018,publisher_pdf_requires_session,5
An 89.55dB-SFDR 179.6dB-FoM s 12-bit lMS/s SAR-Assisted SAR ADC with Weight-Split Compensation Calibration,Yao-Sheng Hu; Jhao-Huei Lin; Ding-Guo Lin; Kai-Yue Lin; Hsin-Shu Chen,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2018.8579310,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579310,https://doi.org/10.1109/asscc.2018.8579310,8579310,98.9,crossref_venue_year:2018,publisher_pdf_requires_session,4
An Asynchronous Energy-Efficient CNN Accelerator with Reconfigurable Architecture,Weijia Chen; Hui Wu; Shaojun Wei; Anping He; Hong Chen,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,Digital IC & Architecture,,10.1109/asscc.2018.8579304,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579304,https://doi.org/10.1109/asscc.2018.8579304,8579304,89.3,crossref_venue_year:2018,publisher_pdf_requires_session,15
An Encryption-Authentication Unified A/D Conversion Scheme for IoT Sensor Nodes,Vinod. V. Gadde; Hiromitsu Awano; Makoto Ikeda,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,General IC,,10.1109/asscc.2018.8579273,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579273,https://doi.org/10.1109/asscc.2018.8579273,8579273,89.1,crossref_venue_year:2018,publisher_pdf_requires_session,11
"An Enhanced Built-off-Test Transceiver with Wide-range, Self-calibration Engine for 3.2 Gb/s/pin DDR4 SDRAM",Joung-Wook Moon; Hye-Sung Yoo; Hundai Choi; Il-Won Park; Seok-Yong Kang; Jun-Bae Kim; Haeyoung Chung; Kiho Kim; Dong-Hun Lee; Ki-Jae Song; Seok-Hun Hyun; Indal Song; Young-Soo Sohn; Yong-Ho Cho; Jung-Hwan Choi; Kwang-Il Park; Seong-Jin Jang,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,RF/mmWave & Wireline,,10.1109/asscc.2018.8579329,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579329,https://doi.org/10.1109/asscc.2018.8579329,8579329,89,crossref_venue_year:2018,publisher_pdf_requires_session,8
An Image Recognition Processor with Time-domain Accelerators using Efficient Time Encoding and Non-linear Logic Operation,Zhengyu Chen; Jie Gu,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,Digital IC & Architecture,,10.1109/asscc.2018.8579259,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579259,https://doi.org/10.1109/asscc.2018.8579259,8579259,98.8,crossref_venue_year:2018,publisher_pdf_requires_session,3
An Integrated DC-DC Converter with Segmented Frequency Modulation and Multiphase Co-Work Control for Fast Transient Recovery,U-Fat Chio; Kuo-Chih Wen; Sai-Weng Sin; Chi-Seng Lam; Yan Lu; Franco Maloberti; R. P. Martins,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,Power Management,,10.1109/asscc.2018.8579295,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579295,https://doi.org/10.1109/asscc.2018.8579295,8579295,88.7,crossref_venue_year:2018,publisher_pdf_requires_session,1
An Ultra-low Power 8T SRAM with Vertical Read Word Line and Data Aware Write Assist,Lu Lu; Taegeun Yoo; Le Van Loi; Tony Tae-Hyoung Kim,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,Memory & Compute-in-Memory,,10.1109/asscc.2018.8579292,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579292,https://doi.org/10.1109/asscc.2018.8579292,8579292,89,crossref_venue_year:2018,publisher_pdf_requires_session,8
Circuit Design in Nano-Scale CMOS Technologies,Kevin Zhang,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,General IC,,10.1109/asscc.2018.8579277,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579277,https://doi.org/10.1109/asscc.2018.8579277,8579277,98.7,crossref_venue_year:2018,publisher_pdf_requires_session,1
Design of a 2.45-GHz RF Energy Harvester for SWIPT IoT smart sensors,Pengcheng Xu; Denis Flandre; David Bol,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,RF/mmWave & Wireline,,10.1109/asscc.2018.8579281,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579281,https://doi.org/10.1109/asscc.2018.8579281,8579281,88.8,crossref_venue_year:2018,publisher_pdf_requires_session,3
FPGA-based CNN Processor with Filter-Wise-Optimized Bit Precision,Asuka Maki; Daisuke Miyashita; Kengo Nakata; Fumihiko Tachibana; Tomoya Suzuki; Jun Deguchi,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2018.8579342,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579342,https://doi.org/10.1109/asscc.2018.8579342,8579342,89.3,crossref_venue_year:2018,publisher_pdf_requires_session,14
Hardware Architecture for Fast General Object Detection using Aggregated Channel Features,Koichi Mitsunari; Jaehoon Yu; Masanori Hashimoto,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,General IC,,10.1109/asscc.2018.8579337,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579337,https://doi.org/10.1109/asscc.2018.8579337,8579337,88.7,crossref_venue_year:2018,publisher_pdf_requires_session,1
Introduction to the Special Section on the 2017 Asian Solid-State Circuits Conference (A-SSCC),Tsung‐Hsien Lin; Chia‐Hsiang Yang; Seung‐Tak Ryu,National Taiwan University; Korea Advanced Institute of Science and Technology,IEEE Journal of Solid-State Circuits,2018,ASSCC,A,General IC,"This issue of the IEEE Journal of Solid-State Circuits (JSSC) includes some of the highlights of the best papers from the 2017 Asian Solid-State Circuits Conference (A-SSCC), which was held at the Grand Hilton Hotel, Seoul, South Korea, on November 6–8, 2017.",10.1109/jssc.2018.2865839,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=2865839,https://doi.org/10.1109/jssc.2018.2865839,2865839,88.7,venue_year_search:2018,publisher_pdf_requires_session,0
Logic Process Compatible 40nm 256K×144 Embedded RRAM with Low Voltage Current Limiter and Ambient Compensation Scheme to Improve the Read Window,Chien-An Lai; Chung-Cheng Chou; Chi-Hsiang Weng; Zheng-Jun Lin; Pei-Ling Tseng; Chien-Fan Wang; Chih-Chen Wang; Chin-I Su; Wei-Chi Chen; Yu-Cheng Lin; Tong-Chern Ong; Chi Chang; Yu-Der Chih; Tsung-Yung Chang,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,Memory & Compute-in-Memory,,10.1109/asscc.2018.8579345,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579345,https://doi.org/10.1109/asscc.2018.8579345,8579345,88.8,crossref_venue_year:2018,publisher_pdf_requires_session,3
Nonvolatile Crossbar 2D2R TCAM with Cell Size of 16.3 F 2 and K-means Clustering for Power Reduction,Keji Zhou; Xiaoyong Xue; Jianguo Yang; Xiaoxin Xu; Hangbing Lv; Mingyu Wang; Mingre Jing; Wenjun Liu; Xiaoyang Zeng; Steve S. Chung; Jing Li; Ming Liu,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,General IC,,10.1109/asscc.2018.8579319,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579319,https://doi.org/10.1109/asscc.2018.8579319,8579319,88.7,crossref_venue_year:2018,publisher_pdf_requires_session,1
Open the New World of 5G,Seizo Onoe,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,General IC,,10.1109/asscc.2018.8579288,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579288,https://doi.org/10.1109/asscc.2018.8579288,8579288,88.7,crossref_venue_year:2018,publisher_pdf_requires_session,0
Panel discussion: The circuits and systems for mobile AI,,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,General IC,,10.1109/asscc.2018.8579317,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579317,https://doi.org/10.1109/asscc.2018.8579317,8579317,88.7,crossref_venue_year:2018,publisher_pdf_requires_session,0
Photovoltaic-Assisted Self-Vth-Cancellation CMOS RF Rectifier for Wide Power Range Operation,Ren Usami; Takao Komiyama; Yasunori Chonan; Hiroyuki Yamaguchi; Koji Kotani,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,RF/mmWave & Wireline,,10.1109/asscc.2018.8579349,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579349,https://doi.org/10.1109/asscc.2018.8579349,8579349,88.9,crossref_venue_year:2018,publisher_pdf_requires_session,5
Practical Challenges in Supporting Function in Memory,Nam Sung Kim,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,Memory & Compute-in-Memory,,10.1109/asscc.2018.8579261,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579261,https://doi.org/10.1109/asscc.2018.8579261,8579261,88.9,crossref_venue_year:2018,publisher_pdf_requires_session,4
"Stable, Self-Biased and High-Gain Organic Amplifiers with Reduced Parameter Variation Effect",Masoud Seifaei; Daniel De Dorigo; David Ingvar Fleig; Matthias Kuhl; Ute Zschieschang; Hagen Klauk; Yiannos Manoli,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2018.8579293,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579293,https://doi.org/10.1109/asscc.2018.8579293,8579293,98.9,crossref_venue_year:2018,publisher_pdf_requires_session,6
Ultra-Lightweight 548–1080 Gate 166Gbps/W–12.6Tbps/W SIMON 32/64 Cipher Accelerators for IoT in 14nm Tri-gate CMOS,Himanshu Kaul; Mark Anders; Sanu Mathew; Vikram Suresh; Sudhir Satpathy; Amit Agarwal; Steven Hsu; Ram Krishnamurthy,,2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),2018,ASSCC,A,Digital IC & Architecture,,10.1109/asscc.2018.8579274,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579274,https://doi.org/10.1109/asscc.2018.8579274,8579274,88.9,crossref_venue_year:2018,publisher_pdf_requires_session,4
"0.54 pJ/bit, 15Mb/s True Random Number Generator Using Probabilistic Delay Cell for Edge Computing Applications",Fei Li; Ming Ming Wong; Aarthy Mani; Vishnu Paramasivam; Anh Tuan Do,,2019 IEEE Asian Solid-State Circuits Conference (A-SSCC),2019,ASSCC,A,General IC,,10.1109/a-sscc47793.2019.9056914,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056914,https://doi.org/10.1109/a-sscc47793.2019.9056914,9056914,89.2,crossref_venue_year:2019,publisher_pdf_requires_session,3
"33us, 94uJ Optimal Ate Pairing Engine on BN Curve over 254b Prime Field in 65nm CMOS FDSOI",Makoto Ikeda; Tadayuki Ichihashi; Hiromitsu Awano,,2019 IEEE Asian Solid-State Circuits Conference (A-SSCC),2019,ASSCC,A,General IC,,10.1109/a-sscc47793.2019.9056951,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056951,https://doi.org/10.1109/a-sscc47793.2019.9056951,9056951,99.3,crossref_venue_year:2019,publisher_pdf_requires_session,5
8.6fJ/step VCO-Based CT 2 nd -Order $\Delta\Sigma$ ADC,Akshay Jayaraj; Abhijit Das; Srinivas Arcot; Arindam Sanyal,,2019 IEEE Asian Solid-State Circuits Conference (A-SSCC),2019,ASSCC,A,Analog & Mixed-Signal,,10.1109/a-sscc47793.2019.9056932,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056932,https://doi.org/10.1109/a-sscc47793.2019.9056932,9056932,89.2,crossref_venue_year:2019,publisher_pdf_requires_session,3
A 0.003-mm 2 440fs RMS -Jitter and -64dBc-Reference-Spur Ring-VCO-Based Type-I PLL Using a Current-Reuse Sampling Phase Detector in 28-nm CMOS,Zunsong Yang; Yong Chen; Pui-In Mak; Rui P. Martins,,2019 IEEE Asian Solid-State Circuits Conference (A-SSCC),2019,ASSCC,A,Clocking & Frequency Generation,,10.1109/a-sscc47793.2019.9056944,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056944,https://doi.org/10.1109/a-sscc47793.2019.9056944,9056944,109.1,crossref_venue_year:2019,publisher_pdf_requires_session,2
"A 0.012 mm2, $1.5 \mathrm{G}\Omega$ Z IN Intrinsic Feedback Capacitor Instrumentation Amplifier for Bio-Potential Recording and Respiratory Monitoring",Lian Zhang; Tao Tang; Jeong Hoan Park; Jerald Yoo,,2019 IEEE Asian Solid-State Circuits Conference (A-SSCC),2019,ASSCC,A,Analog & Mixed-Signal,,10.1109/a-sscc47793.2019.9056975,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056975,https://doi.org/10.1109/a-sscc47793.2019.9056975,9056975,89.3,crossref_venue_year:2019,publisher_pdf_requires_session,6
A 0.5V Real-Time Computational CMOS Image Sensor with Programmable Kernel for Always-On Feature Extraction,Tzu-Hsiang Hsu; Yen-Kai Chen; Tai-Hsing Wen; Wei-Chen Wei; Yi-Ren Chen; Fu-Chun Chang; Hyunjoon Kim; Qian Chen; Bongjin Kim; Ren-Shuo Liu; Chung-Chuan Lo; Kea-Tiong Tang; Meng-Fan Chang; Chih-Cheng Hsieh,,2019 IEEE Asian Solid-State Circuits Conference (A-SSCC),2019,ASSCC,A,"Biomedical, Sensor & Imaging IC",,10.1109/a-sscc47793.2019.9056945,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056945,https://doi.org/10.1109/a-sscc47793.2019.9056945,9056945,99.6,crossref_venue_year:2019,publisher_pdf_requires_session,15
A 0.7mm 2 8.54mW FocusNet Display LSI for Power Reduction on OLED Smart-phones,Tsu-Ming Liu; Chang-Hung Tsai; Shawn Shih; Chih-Kai Chang; Jia-Ying Lin; Wayne Hsieh; Yung-Chang Chang; Chi-Cheng Ju,,2019 IEEE Asian Solid-State Circuits Conference (A-SSCC),2019,ASSCC,A,General IC,,10.1109/a-sscc47793.2019.9056910,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056910,https://doi.org/10.1109/a-sscc47793.2019.9056910,9056910,89.1,crossref_venue_year:2019,publisher_pdf_requires_session,1
A 1.2V 86dB SNDR 500kHz BW Linear-Exponential Multi-Bit Incremental ADC Using Positive Feedback in 65nm CMOS,Biao Wang; Sai-Weng Sin; Seng-Pan U.; Franco Maloberti; R. P. Martins,,2019 IEEE Asian Solid-State Circuits Conference (A-SSCC),2019,ASSCC,A,Analog & Mixed-Signal,,10.1109/a-sscc47793.2019.9056948,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056948,https://doi.org/10.1109/a-sscc47793.2019.9056948,9056948,89.6,crossref_venue_year:2019,publisher_pdf_requires_session,15
A 1.64mW Differential Super Source-Follower Buffer with 9.7GHz BW and 43dB PSRR for Time-Interleaved ADC Applications in 10nm,Yizhak Shifman; Yoel Krupnik; Udi Virobnik; Ahmad Khairi; Yosi Sanhedrai; Ariel Cohen,,2019 IEEE Asian Solid-State Circuits Conference (A-SSCC),2019,ASSCC,A,Analog & Mixed-Signal,,10.1109/a-sscc47793.2019.9056969,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056969,https://doi.org/10.1109/a-sscc47793.2019.9056969,9056969,89.4,crossref_venue_year:2019,publisher_pdf_requires_session,8
A 10 $\mu \mathrm{W}-74.6\mathrm{dB}$ THD Arterial Pulse Waveform Sensing System with Automatic Bridge-Offset Calibration and Super Class-AB Output Stage,Yu-Pin Hsu; Zemin Liu; Mona Hella,,2019 IEEE Asian Solid-State Circuits Conference (A-SSCC),2019,ASSCC,A,General IC,,10.1109/a-sscc47793.2019.9056943,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056943,https://doi.org/10.1109/a-sscc47793.2019.9056943,9056943,89.2,crossref_venue_year:2019,publisher_pdf_requires_session,3
A 100-pA Adaptive-FOCV MPPT Circuit with >99.6% Tracking Efficiency for Indoor Light Energy Harvesting,Peng-Chang Huang; Tai-Haur Kuo,,2019 IEEE Asian Solid-State Circuits Conference (A-SSCC),2019,ASSCC,A,Power Management,,10.1109/a-sscc47793.2019.9056929,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056929,https://doi.org/10.1109/a-sscc47793.2019.9056929,9056929,89.3,crossref_venue_year:2019,publisher_pdf_requires_session,7
A 100Mb/s 3.5GHz Fully-Balanced BFOOK Modulator Based on Integer-N Hyrbrid PLL,Cong Ding; Haixin Song; Woogeun Rhee; Zhihua Wang,,2019 IEEE Asian Solid-State Circuits Conference (A-SSCC),2019,ASSCC,A,Clocking & Frequency Generation,,10.1109/a-sscc47793.2019.9056890,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056890,https://doi.org/10.1109/a-sscc47793.2019.9056890,9056890,89.1,crossref_venue_year:2019,publisher_pdf_requires_session,2
A 110.3-bits/min 8-Ch SSVEP-based Brain-Computer Interface SoC with 87.9% Accuracy,Wooseok Byun; Dokyun Kim; Sung Yeon Kim; Ji-Hoon Kim,,2019 IEEE Asian Solid-State Circuits Conference (A-SSCC),2019,ASSCC,A,RF/mmWave & Wireline,,10.1109/a-sscc47793.2019.9056983,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056983,https://doi.org/10.1109/a-sscc47793.2019.9056983,9056983,89.2,crossref_venue_year:2019,publisher_pdf_requires_session,3
A 12-GHz All-Digital Calibration-Free FMCW Signal Generator Based on a Retiming Fractional Frequency Divider,Zhengkun Shen; Heyi Li; Haoyun Jiang; Zherui Zhang; Junhua Liu; Huailin Liao,,2019 IEEE Asian Solid-State Circuits Conference (A-SSCC),2019,ASSCC,A,General IC,,10.1109/a-sscc47793.2019.9056984,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056984,https://doi.org/10.1109/a-sscc47793.2019.9056984,9056984,89.4,crossref_venue_year:2019,publisher_pdf_requires_session,8
A 15-Ch. 0.019 mm 2 /Ch. 0.43% Gain Mismatch Orthogonal Code Chopping Instrumentation Amplifier SoC for Bio-Signal Acquisition,Jeong Hoan Park; Tao Tang; Lian Zhang; Kian Ann Ng; Jerald Yoo,,2019 IEEE Asian Solid-State Circuits Conference (A-SSCC),2019,ASSCC,A,Analog & Mixed-Signal,,10.1109/a-sscc47793.2019.9056916,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056916,https://doi.org/10.1109/a-sscc47793.2019.9056916,9056916,89.2,crossref_venue_year:2019,publisher_pdf_requires_session,3
A 16.1-b ENOB 0.064mm 2 Compact Highly-Digital Closed-Loop Single-VCO-based 1–1 SMASH Resistance-to-Digital Converter in 180nm CMOS,Elisa Sacco; Johan Vergauwen; Georges Gielen,,2019 IEEE Asian Solid-State Circuits Conference (A-SSCC),2019,ASSCC,A,Clocking & Frequency Generation,,10.1109/a-sscc47793.2019.9056982,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056982,https://doi.org/10.1109/a-sscc47793.2019.9056982,9056982,89.1,crossref_venue_year:2019,publisher_pdf_requires_session,1
A 16K SRAM-Based Mixed-Signal In-Memory Computing Macro Featuring Voltage-Mode Accumulator and Row-by-Row ADC,Hyunjoon Kim; Qian Chen; Bongjin Kim,,2019 IEEE Asian Solid-State Circuits Conference (A-SSCC),2019,ASSCC,A,Memory & Compute-in-Memory,,10.1109/a-sscc47793.2019.9056926,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056926,https://doi.org/10.1109/a-sscc47793.2019.9056926,9056926,110.3,crossref_venue_year:2019,publisher_pdf_requires_session,31
